LANDUSE_TYPE;SUPPLY_SURFACEWATER;SUPPLY_GROUNDWATER;CONSUMED_ET;CONSUMED_OTHER;NON_CONVENTIONAL_ET;RECOVERABLE_SURFACEWATER;RECOVERABLE_GROUNDWATER;NON_RECOVERABLE_SURFACEWATER;NON_RECOVERABLE_GROUNDWATER;DEMAND
Forests;2.1511370791318837e-05;0.02148985942098942;0.02151061743395473;0.0;0.0;0.0;7.53329357099433e-07;0.0;0.0;0.007709499040546535
Shrubland;4.784167014724e-06;0.004779382847812003;0.004782663912310854;0.0;0.0;0.0;1.5030689658148629e-06;0.0;0.0;0.0018735991718848884
Rainfed Crops;0.00011474027887508129;0.11462553859866997;0.11436531807143814;0.0;0.0;0.0;0.00037496065337539727;0.0;0.0;0.06312951565223202
Forest Plantations;3.974251479719389e-05;0.03970277228325006;0.03973533168551951;0.0;0.0;0.0;7.183075102126884e-06;0.0;0.0;0.024255934416993315
Natural Water Bodies;0.0014431446529498317;7.595498176682041e-05;0.0014755686766931837;0.0;0.0;0.0;4.353094788326247e-05;0.0;0.0;0.0036350603294662714
Wetlands;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Natural Grasslands;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Other (Non-Manmade);1.0146639498000779e-05;1.0146639498436523e-05;2.0293279373768e-05;0.0;0.0;0.0;-2.914277133502669e-13;0.0;0.0;7.255014730716699e-06
Irrigated crops;0.4273671584669699;0.004316824054685394;0.14743723012962665;0.0;0.0;0.1120095860283021;0.09414547787585045;0.04051196419447514;0.03757972341229081;0.07941026487332169
Managed water bodies;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Aquaculture;0.03896844321816866;0.0020509706965738737;0.018816642220434124;0.0;0.0;0.01895778624537858;0.00011908946302789804;0.0030961970362773923;2.969898533542434e-05;0.002162082429735857
Residential;0.10363584363051229;0.011515093739196148;0.03559036217794879;0.0;0.0;0.0;0.0;0.04451589406911102;0.03504468087179131;4.577305516180262e-06
Greenhouses;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Other;0.047103471376860315;0.0052337190429971705;0.018562510790341782;0.0;0.0;0.0;0.0;0.019427244390337627;0.01434743512402225;2.3552563623637253e-06
Industry;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
Power and Energy;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
