LANDUSE_TYPE;SUPPLY_SURFACEWATER;SUPPLY_GROUNDWATER;CONSUMED_ET;CONSUMED_OTHER;NON_CONVENTIONAL_ET;RECOVERABLE_SURFACEWATER;RECOVERABLE_GROUNDWATER;NON_RECOVERABLE_SURFACEWATER;NON_RECOVERABLE_GROUNDWATER;DEMAND
Forests;2.3937466731435602e-05;0.023913529265474312;0.023921845479376588;0.0;0.0;0.0;1.562119870333653e-05;0.0;0.0;0.013077029125958341
Shrubland;5.037323560623937e-06;0.005032286237225379;0.005034011665446385;0.0;0.0;0.0;3.3118516003719645e-06;0.0;0.0;0.002547143235966524
Rainfed Crops;0.00011104715258305904;0.11093610543404869;0.11064508413096878;0.0;0.0;0.0;0.0004020681578804326;0.0;0.0;0.0709580300273233
Forest Plantations;4.143611184972645e-05;0.04139467573920985;0.04140866947611633;0.0;0.0;0.0;2.7442307559986538e-05;0.0;0.0;0.031902817728939686
Natural Water Bodies;0.001277722580470972;6.724855691016515e-05;0.0012984274537144462;0.0;0.0;0.0;4.654367721787618e-05;0.0;0.0;0.0038140104832122905
Wetlands;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Natural Grasslands;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Other (Non-Manmade);1.1341211582230621e-05;1.1341211582960383e-05;2.2682424291989147e-05;0.0;0.0;0.0;-1.457095666202842e-12;0.0;0.0;8.554888874061886e-06
Irrigated crops;0.2757419669864948;0.0027853313592681767;0.13118803065109957;0.0;0.0;0.06093882392531143;0.0460598412722401;0.02180155459438135;0.01853904751936885;0.10386960865129362
Managed water bodies;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Aquaculture;0.019523020357591413;0.001027527387902828;0.012223439512304287;0.0;0.0;0.007147713088417974;5.46584597223227e-05;0.0011118518727890173;1.2884765608244427e-05;0.0011777375527814277
Residential;0.06583555970050074;0.0073150621912980015;0.031388947163920336;0.0;0.0;0.0;0.0;0.0232165701069802;0.018545104565196452;4.4296504174709174e-06
Greenhouses;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Other;0.02986097729246138;0.0033178863668965053;0.016334175984815524;0.0;0.0;0.0;0.0;0.009853983885687641;0.006990703756145289;2.279280308451371e-06
Industry;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
Power and Energy;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
