SUBBASIN;VARIABLE;VALUE;UNITS
1;Inflow;0.0;km3
1;Fast Runoff: PROTECTED;0.0004071593677889102;km3
1;Slow Runoff: PROTECTED;0.03607419778847838;km3
1;Fast Runoff: UTILIZED;0.00020381828798100057;km3
1;Slow Runoff: UTILIZED;0.022553898375965865;km3
1;Fast Runoff: MODIFIED;0.003773430392962897;km3
1;Slow Runoff: MODIFIED;0.31925258615248553;km3
1;Fast Runoff: MANAGED;0.11632331060362505;km3
1;Slow Runoff: MANAGED;0.3445782342845515;km3
1;Total Runoff;0.8431666368597034;km3
1;SW withdr. manmade;0.361100547044587;km3
1;SW withdr. natural;0.0014705218467780474;km3
1;SW withdr. total;0.36257106889136503;km3
1;Return Flow SW;0.11065445534589691;km3
1;Return Flow GW;0.0035620582419830524;km3
1;Total Return Flow;0.11421651358787996;km3
1;Outflow: Total;0.48059556796833847;km3
1;Outflow: Committed;0.2716211361609913;km3
1;Outflow: Non Recoverable;0.144853010882206;km3
1;Outflow: Non Utilizable;0.0;km3
1;Outflow: Utilizable;0.06412142092514111;km3
1;Interbasin Transfer;0.0;km3
1;SW storage change;0.0;km3
basin;Inflow;0.0;km3
basin;Fast Runoff: PROTECTED;0.0004071593677889102;km3
basin;Slow Runoff: PROTECTED;0.03607419778847838;km3
basin;Fast Runoff: UTILIZED;0.00020381828798100057;km3
basin;Slow Runoff: UTILIZED;0.022553898375965865;km3
basin;Fast Runoff: MODIFIED;0.003773430392962897;km3
basin;Slow Runoff: MODIFIED;0.31925258615248553;km3
basin;Fast Runoff: MANAGED;0.11632331060362505;km3
basin;Slow Runoff: MANAGED;0.3445782342845515;km3
basin;Total Runoff;0.8431666368597034;km3
basin;SW withdr. manmade;0.361100547044587;km3
basin;SW withdr. natural;0.0014705218467780474;km3
basin;SW withdr. total;0.36257106889136503;km3
basin;Return Flow SW;0.11065445534589691;km3
basin;Return Flow GW;0.11065445534589691;km3
basin;Total Return Flow;0.22130891069179381;km3
basin;Outflow: Total;0.48059556796833847;km3
basin;Outflow: Committed;0.2716211361609913;km3
basin;Outflow: Non Recoverable;0.144853010882206;km3
basin;Outflow: Non Utilizable;0.0;km3
basin;Outflow: Utilizable;0.06412142092514111;km3
basin;Interbasin Transfer;0.0;km3
basin;SW storage change;0.0;km3
