SUBBASIN;VARIABLE;VALUE;UNITS
1;Inflow;0.0;km3
1;Fast Runoff: PROTECTED;0.021623595822207554;km3
1;Slow Runoff: PROTECTED;0.03226803194597961;km3
1;Fast Runoff: UTILIZED;0.015998805138678976;km3
1;Slow Runoff: UTILIZED;0.02009941812477777;km3
1;Fast Runoff: MODIFIED;0.26987254469292965;km3
1;Slow Runoff: MODIFIED;0.29943202648224687;km3
1;Fast Runoff: MANAGED;0.4057058905377721;km3
1;Slow Runoff: MANAGED;0.33416686519233174;km3
1;Total Runoff;1.399167178544432;km3
1;SW withdr. manmade;0.08957445472344958;km3
1;SW withdr. natural;0.00040244743769417187;km3
1;SW withdr. total;0.08997690216114375;km3
1;Return Flow SW;0.029203470047969693;km3
1;Return Flow GW;0.0010276317534724886;km3
1;Total Return Flow;0.03023110180144218;km3
1;Outflow: Total;1.3091902763832883;km3
1;Outflow: Committed;0.2716211361609913;km3
1;Outflow: Non Recoverable;0.39459405369364586;km3
1;Outflow: Non Utilizable;0.0;km3
1;Outflow: Utilizable;0.6429750865286512;km3
1;Interbasin Transfer;0.0;km3
1;SW storage change;0.0;km3
basin;Inflow;0.0;km3
basin;Fast Runoff: PROTECTED;0.021623595822207554;km3
basin;Slow Runoff: PROTECTED;0.03226803194597961;km3
basin;Fast Runoff: UTILIZED;0.015998805138678976;km3
basin;Slow Runoff: UTILIZED;0.02009941812477777;km3
basin;Fast Runoff: MODIFIED;0.26987254469292965;km3
basin;Slow Runoff: MODIFIED;0.29943202648224687;km3
basin;Fast Runoff: MANAGED;0.4057058905377721;km3
basin;Slow Runoff: MANAGED;0.33416686519233174;km3
basin;Total Runoff;1.399167178544432;km3
basin;SW withdr. manmade;0.08957445472344958;km3
basin;SW withdr. natural;0.00040244743769417187;km3
basin;SW withdr. total;0.08997690216114375;km3
basin;Return Flow SW;0.029203470047969693;km3
basin;Return Flow GW;0.029203470047969693;km3
basin;Total Return Flow;0.058406940095939386;km3
basin;Outflow: Total;1.3091902763832883;km3
basin;Outflow: Committed;0.2716211361609913;km3
basin;Outflow: Non Recoverable;0.39459405369364586;km3
basin;Outflow: Non Utilizable;0.0;km3
basin;Outflow: Utilizable;0.6429750865286512;km3
basin;Interbasin Transfer;0.0;km3
basin;SW storage change;0.0;km3
