SUBBASIN;VARIABLE;VALUE;UNITS
1;Inflow;0.0;km3
1;Fast Runoff: PROTECTED;5.9247423625170625e-05;km3
1;Slow Runoff: PROTECTED;0.028929319357150023;km3
1;Fast Runoff: UTILIZED;2.3372587091597904e-05;km3
1;Slow Runoff: UTILIZED;0.0180780913654889;km3
1;Fast Runoff: MODIFIED;0.0004070219913915147;km3
1;Slow Runoff: MODIFIED;0.2560588769346583;km3
1;Fast Runoff: MANAGED;0.14044437122105888;km3
1;Slow Runoff: MANAGED;0.2769001187620255;km3
1;Total Runoff;0.7209004201498208;km3
1;SW withdr. manmade;0.447189310014605;km3
1;SW withdr. natural;0.002388490057692578;km3
1;SW withdr. total;0.4495778000722976;km3
1;Return Flow SW;0.13650580876125526;km3
1;Return Flow GW;0.00462298004272964;km3
1;Total Return Flow;0.1411287888039849;km3
1;Outflow: Total;0.27132262007752334;km3
1;Outflow: Committed;0.18954513177312154;km3
1;Outflow: Non Recoverable;0.08177748830440179;km3
1;Outflow: Non Utilizable;0.0;km3
1;Outflow: Utilizable;0.0;km3
1;Interbasin Transfer;0.0;km3
1;SW storage change;0.0;km3
basin;Inflow;0.0;km3
basin;Fast Runoff: PROTECTED;5.9247423625170625e-05;km3
basin;Slow Runoff: PROTECTED;0.028929319357150023;km3
basin;Fast Runoff: UTILIZED;2.3372587091597904e-05;km3
basin;Slow Runoff: UTILIZED;0.0180780913654889;km3
basin;Fast Runoff: MODIFIED;0.0004070219913915147;km3
basin;Slow Runoff: MODIFIED;0.2560588769346583;km3
basin;Fast Runoff: MANAGED;0.14044437122105888;km3
basin;Slow Runoff: MANAGED;0.2769001187620255;km3
basin;Total Runoff;0.7209004201498208;km3
basin;SW withdr. manmade;0.447189310014605;km3
basin;SW withdr. natural;0.002388490057692578;km3
basin;SW withdr. total;0.4495778000722976;km3
basin;Return Flow SW;0.13650580876125526;km3
basin;Return Flow GW;0.13650580876125526;km3
basin;Total Return Flow;0.2730116175225105;km3
basin;Outflow: Total;0.27132262007752334;km3
basin;Outflow: Committed;0.18954513177312154;km3
basin;Outflow: Non Recoverable;0.08177748830440179;km3
basin;Outflow: Non Utilizable;0.0;km3
basin;Outflow: Utilizable;0.0;km3
basin;Interbasin Transfer;0.0;km3
basin;SW storage change;0.0;km3
