CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;3.741218670547617
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.01577871272107374
INFLOW;SURFACE WATER;Main riverstem;0.0
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;-1.0821034845439756
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET LANDSCAPE;Protected;0.025504552078505986
OUTFLOW;ET LANDSCAPE;Utilized;0.015072478766320533
OUTFLOW;ET LANDSCAPE;Modified;0.2856283141536853
OUTFLOW;ET LANDSCAPE;Managed;0.4055799676186741
OUTFLOW;ET UTILIZED FLOW;Protected;0.00707153447771234
OUTFLOW;ET UTILIZED FLOW;Utilized;0.003411125637215566
OUTFLOW;ET UTILIZED FLOW;Modified;0.03198988609596555
OUTFLOW;ET UTILIZED FLOW;Managed;0.58311151018935
OUTFLOW;ET INCREMENTAL;Manmade;0.014677777225607296
OUTFLOW;ET INCREMENTAL;Natural;0.042472546210893455
OUTFLOW;SURFACE WATER;Main riverstem;1.885958262671028
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;RESERVED;Commited;0.2716211361609913
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
