CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;2.886851976125167
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.018975837910281703
INFLOW;SURFACE WATER;Main riverstem;0.0
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;-0.6478456421380754
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET LANDSCAPE;Protected;0.02840385931215817
OUTFLOW;ET LANDSCAPE;Utilized;0.01735459688126488
OUTFLOW;ET LANDSCAPE;Modified;0.3168371672171701
OUTFLOW;ET LANDSCAPE;Managed;0.46360382832201713
OUTFLOW;ET UTILIZED FLOW;Protected;0.012352470924872782
OUTFLOW;ET UTILIZED FLOW;Utilized;0.006089704669419483
OUTFLOW;ET UTILIZED FLOW;Modified;0.07154213564298575
OUTFLOW;ET UTILIZED FLOW;Managed;0.4272021862378425
OUTFLOW;ET INCREMENTAL;Manmade;0.03260813254419663
OUTFLOW;ET INCREMENTAL;Natural;0.08998431123727801
OUTFLOW;SURFACE WATER;Main riverstem;1.3091902763832883
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;RESERVED;Commited;0.2716211361609913
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
