CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;1.1964163160713905
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.015905160348528166
INFLOW;SURFACE WATER;Main riverstem;0.0
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;-0.09645176389665888
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET LANDSCAPE;Protected;0.02489005606642221
OUTFLOW;ET LANDSCAPE;Utilized;0.01670079184811885
OUTFLOW;ET LANDSCAPE;Modified;0.2730175555698102
OUTFLOW;ET LANDSCAPE;Managed;0.34844209631716744
OUTFLOW;ET UTILIZED FLOW;Protected;0.015276459257159623
OUTFLOW;ET UTILIZED FLOW;Utilized;0.005248939867202634
OUTFLOW;ET UTILIZED FLOW;Modified;0.06021928474183766
OUTFLOW;ET UTILIZED FLOW;Managed;0.14809620379818683
OUTFLOW;ET INCREMENTAL;Manmade;0.05146283375868965
OUTFLOW;ET INCREMENTAL;Natural;0.08074468386619992
OUTFLOW;SURFACE WATER;Main riverstem;0.3206116950968516
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;RESERVED;Commited;0.22397832505735427
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
