CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;2.4739631154465624
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.01737147663525771
INFLOW;SURFACE WATER;Main riverstem;0.0
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;-0.13228768427377213
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET LANDSCAPE;Protected;0.020078124338990845
OUTFLOW;ET LANDSCAPE;Utilized;0.014228624579067678
OUTFLOW;ET LANDSCAPE;Modified;0.25154722057083706
OUTFLOW;ET LANDSCAPE;Managed;0.41170971178705057
OUTFLOW;ET UTILIZED FLOW;Protected;0.016718590468964453
OUTFLOW;ET UTILIZED FLOW;Utilized;0.007008656065674641
OUTFLOW;ET UTILIZED FLOW;Modified;0.09879487426132098
OUTFLOW;ET UTILIZED FLOW;Managed;0.4977212875353972
OUTFLOW;ET INCREMENTAL;Manmade;0.04848802969097946
OUTFLOW;ET INCREMENTAL;Natural;0.12252212079596009
OUTFLOW;SURFACE WATER;Main riverstem;1.4904730760451623
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;RESERVED;Commited;0.2716211361609913
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
