LAND_USE;CLASS;TRANSPIRATION;WATER;SOIL;INTERCEPTION;AGRICULTURE;ENVIRONMENT;ECONOMY;ENERGY;LEISURE;NON_BENEFICIAL
PROTECTED;Forest;0.006137734784673871;0;0.014062321343615925;0.006743713428390565;0.0;0.017170047709046326;0.0;0.0;0.003030008419243469;0.006743713428390565
PROTECTED;Shrubland;0.001498550364695911;0;0.0025456055448806365;0.001565177862056395;0.0;0.003437532523140065;0.0;0.0;0.0006066233864364821;0.001565177862056395
PROTECTED;Natural grasslands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Natural water bodies;8.707909597883242e-06;1.8091200651496e-06;0;7.444404402724079e-06;0.0;8.939475213577914e-06;0.0;0.0;1.5775544494549261e-06;7.444404402724079e-06
PROTECTED;Wetlands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Glaciers;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Others;1.747411867643001e-05;0;1.620449787857709e-05;1.1312381298165198e-05;0.0;2.8626824071756034e-05;0.0;0.0;5.051792483251065e-06;1.1312381298165198e-05
UTILIZED;Forest;0.002931808031258935;0;0.004000402129262785;0.004732292576107288;0.00014659040156294676;0.0026386272281330417;0.0;0.0;0.00014659040156294676;0.008732694705370072
UTILIZED;Shrubland;0.0009366044019910673;0;0.001108083967349004;0.001158518049536516;4.683022009955337e-05;0.0007961137416924072;0.0;9.366044019910673e-05;0.0;0.0022666020168855203
UTILIZED;Natural grasslands;0.00017186488247588204;0;0.00012961025758536488;8.731496849159713e-05;8.593244123794102e-06;0.00016327163835208792;0.0;0.0;0.0;0.000216925226076962
UTILIZED;Natural water bodies;0.0016874734591026258;0.0010985156907568567;0;0.00043254732079134285;0.00013731446134460708;0.00021970313815137133;2.7462892268921416e-05;0.0;0.0001647773536135285;0.002669278625272397
UTILIZED;Wetlands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UTILIZED;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MODIFIED;Rainfed crops;0.0798349412065957;0;0.09760115467695218;0.0620383463967666;0.07185144708593613;0.0;0.00798349412065957;0.0;0.0;0.15963950107371877
MODIFIED;Forest plantations;0.022970503577125594;0;0.028551788684194834;0.02702723916131821;0.020673453219413034;0.0;0.0022970503577125594;0.0;0.0;0.055579027845513045
MODIFIED;Settlements;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MODIFIED;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED CONVENTIONAL;Irrigated crops;0.11287309627346864;0;0.13599621590073677;0.057335248879991606;0.10158578664612179;0.0;0.011287309627346864;0.0;0.0;0.19333146478072832
MANAGED CONVENTIONAL;Managed water bodies;0.029815249284297324;0.008774237508814323;0;0.000528492053215952;0.00789681375793289;0.0;0.0008774237508814323;0.0;0.0;0.030343741337513275
MANAGED CONVENTIONAL;Residential;0.03958904637588827;0;0.024323464399071255;0.009302849411377887;0.006002060901856069;0.0010003434836426783;0.02258320715396274;0.0;0.010003434836426782;0.03362631381044914
MANAGED CONVENTIONAL;Industry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED CONVENTIONAL;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Indoor domestic;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Indoor industry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Greenhouses;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Livestock and husbandry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Power and energy;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
