LAND_USE;CLASS;TRANSPIRATION;WATER;SOIL;INTERCEPTION;AGRICULTURE;ENVIRONMENT;ECONOMY;ENERGY;LEISURE;NON_BENEFICIAL
PROTECTED;Forest;0.022123914381817322;0;0.006702382444975414;0.0027450560282075986;0.0;0.024502352302773825;0.0;0.0;0.00432394452401891;0.0027450560282075986
PROTECTED;Shrubland;0.004067244302942986;0;0.001634526249481212;0.00044288153424078746;0.0;0.004846504969560569;0.0;0.0;0.0008552655828636298;0.00044288153424078746
PROTECTED;Natural grasslands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Natural water bodies;1.6029030354439565e-05;2.2336556901814725e-06;0;3.67862043482848e-07;0.0;1.552328313792788e-05;0.0;0.0;2.7394029066931556e-06;3.67862043482848e-07
PROTECTED;Wetlands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Glaciers;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Others;2.8105207345499087e-05;0;1.558873991879078e-05;1.6119640342773929e-06;0.0;3.7139855174646386e-05;0.0;0.0;6.55409208964348e-06;1.6119640342773929e-06
UTILIZED;Forest;0.009532468352894204;0;0.002990744645025833;0.0008871092405630142;0.0004766234176447102;0.008579221517604783;0.0;0.0;0.0004766234176447102;0.003877853885588847
UTILIZED;Shrubland;0.0017323245815436374;0;0.001174719623139112;0.00014316659302883813;8.661622907718188e-05;0.0014724758943120918;0.0;0.00017323245815436376;0.0;0.0013178862161679502
UTILIZED;Natural grasslands;0.0002469288050480292;0;0.00010106243503298085;1.732586557805216e-05;1.2346440252401461e-05;0.00023458236479562773;0.0;0.0;0.0;0.000118388300611033
UTILIZED;Natural water bodies;0.001778573902093629;0.0011310695619544625;0;4.5095243560576765e-05;0.00014138369524430781;0.0002262139123908925;2.8276739048861563e-05;0.0;0.00016966043429316938;0.0023892039266314373
UTILIZED;Wetlands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UTILIZED;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MODIFIED;Rainfed crops;0.12059239213578281;0;0.09537491808967226;0.009225494657695982;0.10853315292220453;0.0;0.012059239213578283;0.0;0.0;0.10460041274736824
MODIFIED;Forest plantations;0.048716771460957105;0;0.025146401308837114;0.004830436741731827;0.043845094314861395;0.0;0.004871677146095711;0.0;0.0;0.02997683805056894
MODIFIED;Settlements;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MODIFIED;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED CONVENTIONAL;Irrigated crops;0.1255195648967779;0;0.1368966179542792;0.005572921295220509;0.11296760840710009;0.0;0.012551956489677787;0.0;0.0;0.14246953924949973
MANAGED CONVENTIONAL;Managed water bodies;0.028501984210151193;0.007332088536596297;0;5.235489158231278e-05;0.0065988796829366675;0.0;0.0007332088536596298;0.0;0.0;0.028554339101733505
MANAGED CONVENTIONAL;Residential;0.04227900260194537;0;0.02406488518580405;0.0010802771193488276;0.006294708776963276;0.0010491181294938795;0.024443994400549417;0.0;0.010491181294938794;0.025145162305152877
MANAGED CONVENTIONAL;Industry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED CONVENTIONAL;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Indoor domestic;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Indoor industry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Greenhouses;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Livestock and husbandry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Power and energy;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
