LAND_USE;CLASS;TRANSPIRATION;WATER;SOIL;INTERCEPTION;AGRICULTURE;ENVIRONMENT;ECONOMY;ENERGY;LEISURE;NON_BENEFICIAL
PROTECTED;Forest;0.018826016626870275;0;0.008107278655075836;0.002768289289343903;0.0;0.022893300989654194;0.0;0.0;0.004039994292291916;0.002768289289343903
PROTECTED;Shrubland;0.0035383778804064753;0;0.0019077984560483489;0.0004436378816300347;0.0;0.004629249885986601;0.0;0.0;0.0008169264504682236;0.0004436378816300347
PROTECTED;Natural grasslands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Natural water bodies;1.3847001516248076e-05;2.9686417787522453e-06;0;6.852025944583591e-07;0.0;1.4293296800750272e-05;0.0;0.0;2.5223464942500482e-06;6.852025944583591e-07
PROTECTED;Wetlands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Glaciers;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Others;2.6080463382028025e-05;0;1.5216551016532149e-05;1.9348187975801104e-06;0.0;3.510246223877614e-05;0.0;0.0;6.194552159784025e-06;1.9348187975801104e-06
UTILIZED;Forest;0.007681137044979346;0;0.0031741929866823037;0.0017586360770273158;0.0003840568522489674;0.006913023340481412;0.0;0.0;0.0003840568522489674;0.00493282906370962
UTILIZED;Shrubland;0.0018240828212482546;0;0.0011064269332620284;0.0002487264765214009;9.120414106241273e-05;0.0015504703980610164;0.0;0.00018240828212482546;0.0;0.0013551534097834294
UTILIZED;Natural grasslands;0.00024918364321031936;0;9.758636418405906e-05;2.821547112667419e-05;1.2459182160515969e-05;0.00023672446104980338;0.0;0.0;0.0;0.00012580183531073325
UTILIZED;Natural water bodies;0.0019038118850573432;0.001130243762998329;0;8.03194434997451e-05;0.00014128047037479112;0.00022604875259966582;2.8256094074958227e-05;0.0;0.00016953656444974934;0.0025492532100562532
UTILIZED;Wetlands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UTILIZED;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MODIFIED;Rainfed crops;0.12931578521901013;0;0.09050815682803244;0.014854195322561131;0.11638420669710914;0.0;0.012931578521901016;0.0;0.0;0.10536235215059359
MODIFIED;Forest plantations;0.04774337398905033;0;0.0237820573661296;0.008086567493013539;0.0429690365901453;0.0;0.004774337398905034;0.0;0.0;0.031868624859143144
MODIFIED;Settlements;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MODIFIED;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED CONVENTIONAL;Irrigated crops;0.14765335176200967;0;0.13389595660827253;0.012169906128130362;0.1328880165858087;0.0;0.014765335176200968;0.0;0.0;0.14606586273640287
MANAGED CONVENTIONAL;Managed water bodies;0.03044538580842613;0.008224827895751474;0;0.00012944556047593617;0.007402345106176327;0.0;0.0008224827895751474;0.0;0.0;0.030574831368902065
MANAGED CONVENTIONAL;Residential;0.04525613605926882;0;0.02347424949511146;0.0019944019357263716;0.006817692028848934;0.0011362820048081558;0.02593934197753018;0.0;0.011362820048081557;0.025468651430837833
MANAGED CONVENTIONAL;Industry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED CONVENTIONAL;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Indoor domestic;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Indoor industry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Greenhouses;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Livestock and husbandry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Power and energy;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
