LAND_USE;CLASS;TRANSPIRATION;WATER;SOIL;INTERCEPTION;AGRICULTURE;ENVIRONMENT;ECONOMY;ENERGY;LEISURE;NON_BENEFICIAL
PROTECTED;Forest;0.005056478545578197;0;0.018433671981750853;0.005546332295341816;0.0;0.019966627948229693;0.0;0.0;0.0035235225790993573;0.005546332295341816
PROTECTED;Shrubland;0.0013145572951803284;0;0.0034754085372847637;0.0013898188548571544;0.0;0.004071470957595328;0.0;0.0;0.0007184948748697637;0.0013898188548571544
PROTECTED;Natural grasslands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Natural water bodies;8.389952177507905e-06;1.529360335931144e-06;0;7.871788418773128e-06;0.0;8.431415636423192e-06;0.0;0.0;1.4878968770158573e-06;7.871788418773128e-06
PROTECTED;Wetlands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Glaciers;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Others;1.7811183212226595e-05;0;2.4895629408158582e-05;9.61923590363002e-06;0.0;3.6300790727327394e-05;0.0;0.0;6.406021893057776e-06;9.61923590363002e-06
UTILIZED;Forest;0.0031291593941919827;0;0.005429223760960461;0.00475601951724117;0.00015645796970959914;0.002816243454772784;0.0;0.0;0.00015645796970959914;0.01018524327820163
UTILIZED;Shrubland;0.0008425165785263375;0;0.0016437512931960214;0.0009234709734824626;4.212582892631688e-05;0.0007161390917473869;0.0;8.425165785263375e-05;0.0;0.002567222266678484
UTILIZED;Natural grasslands;0.00016557587602798117;0;0.00016231298043543907;7.857642927451725e-05;8.27879380139906e-06;0.0001572970822265821;0.0;0.0;0.0;0.00024088940970995633
UTILIZED;Natural water bodies;0.001660483699373785;0.0013114399860396837;0;0.000415956227589579;0.00016392999825496046;0.00026228799720793677;3.2785999650992096e-05;0.0;0.00019671599790595254;0.002732159919983206
UTILIZED;Wetlands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UTILIZED;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MODIFIED;Rainfed crops;0.06874200948761874;0;0.12077121603462172;0.060552172536891186;0.06186780853885686;0.0;0.006874200948761873;0.0;0.0;0.18132338857151292
MODIFIED;Forest plantations;0.020010721256771072;0;0.033214562242731796;0.030470394005638116;0.018009649131093965;0.0;0.002001072125677107;0.0;0.0;0.06368495624836991
MODIFIED;Settlements;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MODIFIED;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED CONVENTIONAL;Irrigated crops;0.08268470461297242;0;0.17368954052839183;0.04463840611114872;0.07441623415167517;0.0;0.008268470461297242;0.0;0.0;0.21832794663954055
MANAGED CONVENTIONAL;Managed water bodies;0.03268413136986178;0.010003889210486335;0;0.0002901523362223137;0.009003500289437702;0.0;0.0010003889210486335;0.0;0.0;0.032974283706084094
MANAGED CONVENTIONAL;Residential;0.037609443704228585;0;0.030549616937597536;0.008274203459576277;0.005741196187503747;0.0009568660312506247;0.02134272117296796;0.0;0.009568660312506246;0.03882382039717382
MANAGED CONVENTIONAL;Industry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED CONVENTIONAL;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Indoor domestic;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Indoor industry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Greenhouses;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Livestock and husbandry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Power and energy;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
